Periodo,"Producto Interno Bruto, a precios de mercado "
1980/01,7547882.144
1980/02,7536518.992
1980/03,7478780.82
1980/04,8008666.64
1981/01,8229212.702
1981/02,8417818.004
1981/03,8211045.527
1981/04,8614524.865
1982/01,8512096.4
1982/02,8481760.759
1982/03,8198953.899
1982/04,8277251.689
1983/01,8120479.85
1983/02,7997531.117
1983/03,7764430.844
1983/04,8127328.588
1984/01,8384896.23
1984/02,8232124.573
1984/03,8119301.524
1984/04,8389536.374
1985/01,8539105.041
1985/02,8487030.468
1985/03,8193121.959
1985/04,8528896.049
1986/01,8208491.352
1986/02,8409218.652
1986/03,7769449.783
1986/04,8109501.791
1987/01,8119219.038
1987/02,8443175.116
1987/03,8038083.561
1987/04,8568977.287
1988/01,8378163.162
1988/02,8546889.028
1988/03,8031742.408
1988/04,8636950.844
1989/01,8575114.059
1989/02,8912465.891
1989/03,8452556.703
1989/04,8881444.762
1990/01,8964419.624
1990/02,9262515.905
1990/03,8885511.844
1990/04,9522792.509
1991/01,9268190.329
1991/02,9775235.335
1991/03,9176389.016
1991/04,9894608.989
1992/01,9701986.33
1992/02,9986417.75
1992/03,9607923.069
1992/04,10155182.26
1993/01,10008894.66
1993/02,10171035.4
1993/03,10066258.41
1993/04,10416096.24
1994/01,10343388.47
1994/02,10772526.22
1994/03,10602752.89
1994/04,10952773.42
1995/01,10189745.49
1995/02,9795719.008
1995/03,9802904.373
1995/04,10198513.28
1996/01,10426430.9
1996/02,10569227.49
1996/03,10583112.09
1996/04,11116526.64
1997/01,10862931.98
1997/02,11460068.09
1997/03,11408200.86
1997/04,11887380.12
1998/01,11827638.05
1998/02,12034464.22
1998/03,11972371.59
1998/04,12139816.57
1999/01,12100154.54
1999/02,12315219.07
1999/03,12325229.13
1999/04,12554685.81
2000/01,12725022.04
2000/02,12994568.9
2000/03,13008792.26
2000/04,13003302.17
2001/01,12796119.51
2001/02,12967530.19
2001/03,12857408.64
2001/04,12901429.2
2002/01,12415541.46
2002/02,13112362.78
2002/03,12889950.08
2002/04,13084104.35
2003/01,12803326.7
2003/02,13182931.65
2003/03,12954912.31
2003/04,13305703.42
2004/01,13252637.28
2004/02,13732337.64
2004/03,13438257.15
2004/04,13872028.16
2005/01,13354792.35
2005/02,14104834.68
2005/03,13782142.6
2005/04,14306520.45
2006/01,14107961.11
2006/02,14700503.81
2006/03,14435867.22
2006/04,14800896.84
2007/01,14393731.48
2007/02,14993341.59
2007/03,14783297.43
2007/04,15204933.41
2008/01,14563429.22
2008/02,15386331.87
2008/03,14979493.16
2008/04,15125056.48
2009/01,13752157.47
2009/02,14012946.41
2009/03,14231940.4
2009/04,14882949.24
2010/01,14371712.1
2010/02,14998393.28
2010/03,14921450
2010/04,15499623.4
2011/01,14902786.4
2011/02,15413082.34
2011/03,15526005.35
2011/04,16139460.31
2012/01,15619687.19
2012/02,16027316.83
2012/03,15952746.02
2012/04,16639144.56
2013/01,15720278.47
2013/02,16362711.04
2013/03,16186046.28
2013/04,16839712.53
2014/01,16135555.6
2014/02,16736970.62
2014/03,16645075.76
2014/04,17417017.09
2015/01,16697180.28
2015/02,17239433.7
2015/03,17309618.5
2015/04,17889191.25
2016/01,17197681.41
2016/02,17809346.28
2016/03,17666882.89
2016/04,18473731.77
2017/01,17791095.46
2017/02,18149132.22
2017/03,17943735.58
2017/04,18770646.69
2018/01,18072389.06
2018/02,18701099.83
2018/03,18395545.06
2018/04,19037446.16
2019/01,18282105.85
2019/02,18523716.9
2019/03,18348814.79
2019/04,18943796.1
,
,
,
,
,
,
